epoch,acc,loss,val_acc,val_loss
0,0.5325797872340425,0.702620525943472,0.34615384615384615,0.7783329991193918
1,0.7065144392209537,0.5701376563394687,0.5707070710081042,0.7298991987199495
2,0.7186030893216924,0.5521088228520329,0.5353535353535354,0.8729287542478003
3,0.7454667562122229,0.5182148158910532,0.6717171711151046,0.5857124662760532
4,0.7575554063129617,0.5204229793987313,0.6262626256605591,0.9179250013948691
5,0.770987239758227,0.4830013074436149,0.6565656565656566,0.5752418956371269
6,0.7723304231027536,0.4960132499442475,0.6414141420162085,0.6571688311870651
7,0.7723304231027536,0.4956784418879779,0.6060606066626731,0.7066917419433594
8,0.77367360644728,0.46752672895158676,0.6414141414141414,0.9048933410885358
9,0.7602417730020148,0.4851345443901718,0.4898989898989899,1.121888518333435
10,0.7884486232370719,0.4530909458129017,0.6464646458625793,0.8329207123530031
11,0.7985224983210208,0.4285362622255924,0.7929292935313601,0.48685553760239575
